Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
2,60,JAX,Maurice Jones-Drew\DrewMa00,RB,21,2014,1,3,4,72,72,126,1,2,8,1,1,1847,8167,68,346,2944,11,18,,,UCLA,College Stats
2,61,DEN,Tony Scheffler\ScheTo00,TE,23,2013,0,0,1,24,16,107,,,,,,3,7,0,258,3207,22,12,1,,West. Michigan,College Stats
2,62,IND,Tim Jennings\JennTi20,DB,22,2015,0,2,5,43,9,137,,,,,,,,,,,,395,20,,Georgia,College Stats
2,63,SEA,Darryl Tapp\TappDa20,DE,22,2016,0,0,2,29,21,160,,,,,,,,,,,,258,2,28.0,Virginia Tech,College Stats
2,64,MIN,Tarvaris Jackson\JackTa00,QB,23,2015,0,0,2,21,12,59,640,1073,7263,39,35,171,636,6,,,,3,,,Alabama St.,College Stats
3,65,HOU,Charles Spencer\SpenCh20,G,24,2006,0,0,0,1,1,2,,,,,,,,,,,,,,,Pittsburgh,
3,66,HOU,Eric Winston\WinsEr20,T,22,2016,0,0,7,53,43,155,,,,,,,,,,,,6,,,Miami (FL),College Stats
3,67,GNB,Abdul Hodge\HodgAb20,LB,24,2010,0,0,0,2,1,35,,,,,,,,,,,,25,,,Iowa,College Stats
3,68,STL,Claude Wroten\WrotCl20,DT,23,2007,0,0,0,2,2,26,,,,,,,,,,,,20,,1.5,LSU,College Stats
3,69,OAK,Paul McQuistan\McQuPa21,T,23,2014,0,0,2,24,4,97,,,,,,,,,,,,2,,,Weber St.,
3,70,BUF,Ashton Youboty\YoubAs20,DB,22,2011,0,0,0,8,5,49,,,,,,,,,,,,73,2,2.0,Ohio St.,College Stats
3,71,PHI,Chris Gocong\GocoCh99,DE,22,2012,0,0,5,32,15,79,,,,,,,,,,,,228,,9.5,Cal Poly-San Luis Obispo,
