Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
257,Alvis Whitted\WhitAl00,OAK,WR,32,14,13,0,0,0,0,0,1,4,4,0,63,27,299,11.07,0,30,59.8,42.8,,104,
258,Bryan Gilmore\GilmBr00,SFO,WR,28,16,3,0,0,0,0,0,7,94,13.43,0,31,8,150,18.75,1,30,40.9,33.4,,103,
259,LenDale White\WhitLe01,TEN,RB,22,13,0,0,0,0,0,0,61,244,4,0,20,14,60,4.29,0,30,47.4,37.4,,72,
260,Mike Anderson\AndeMi00,BAL,RB,33,16,0,0,0,0,0,0,39,183,4.69,1,14,9,54,6,0,30,41.7,34.2,,73,
261,Joe Klopfenstein\KlopJo00,STL,TE,23,16,16,0,0,0,0,0,0,0,,0,34,20,226,11.3,1,29,51.6,38.6,,37,
262,Randal Williams\WillRa01,OAK,TE,28,16,10,0,0,0,0,0,0,0,,0,57,28,293,10.46,0,29,59.3,41.3,,36,
263,Musa Smith\SmitMu00,BAL,RB,24,12,0,0,0,0,0,0,36,153,4.25,0,23,22,135,6.14,0,29,56.3,38.8,,74,
264,Michael Robinson\RobiMi00,SFO,RB,23,16,0,0,1,0,0,0,38,116,3.05,2,12,9,47,5.22,0,28,40.3,32.8,,76,
265,Lorenzo Neal\NealLo00,SDG,RB,36,16,11,0,0,0,0,0,29,140,4.83,1,26,17,83,4.88,0,28,47.3,34.8,,75,
266,Derek Hagan\HagaDe00,MIA,WR,22,16,0,0,0,0,0,0,0,0,,0,37,21,221,10.52,1,28,52.1,38.6,,105,
267,Stephen Alexander\AlexSt00,DEN,TE,31,16,14,0,0,0,0,0,0,0,,0,35,18,160,8.89,2,28,49,37,,38,
268,Michael Bennett\BennMi00,KAN,RB,28,11,0,0,0,0,0,0,36,200,5.56,0,12,9,77,8.56,0,28,39.2,31.2,,78,
269,Maurice Hicks\HickMa00,SFO,RB,28,16,0,0,0,0,0,0,29,82,2.83,0,15,13,137,10.54,1,28,42.9,32.4,,77,
270,Jason Wright\WrigJa01,CLE,RB,24,13,3,0,0,0,0,0,62,189,3.05,0,11,6,82,13.67,0,27,35.6,29.1,,79,
271,Chris Weinke\WeinCh00,CAR,QB,34,3,3,56,96,625,2,4,4,16,4,0,0,0,0,,0,27,32.6,28.6,,48,
272,Ben Troupe\TrouBe00,TEN,TE,24,10,9,0,0,0,0,0,0,0,,0,29,13,150,11.54,2,27,43,33.5,,40,
273,T.J. Duckett\DuckT.00,WAS,RB,25,10,0,0,0,0,0,0,38,132,3.47,2,2,2,16,8,0,27,31.3,26.8,,80,
274,Brandon Manumaleuna\ManuBr00,SDG,TE,26,16,7,0,0,0,0,0,1,1,1,0,17,14,91,6.5,3,27,41.2,34.2,,39,
275,Dennis Northcutt\NortDe00,CLE,WR,29,13,6,0,0,0,0,0,3,32,10.67,0,45,22,228,10.36,0,26,50.5,36,,106,
276,A.J. Feeley\FeelA.00,PHI,QB,29,2,0,26,38,342,3,0,1,3,3,0,0,0,0,,0,26,28.5,25,,49,
277,Brad Hoover\HoovBr00,CAR,RB,30,16,12,0,0,0,0,0,22,73,3.32,1,29,20,122,6.1,0,26,47.5,33.5,,81,
278,Adrian Peterson\PeteAd00,CHI,RB,27,16,0,0,0,0,0,0,10,41,4.1,2,6,6,88,14.67,0,25,29.9,25.9,,82,
279,Kris Mangum\MangKr00,CAR,TE,33,15,5,0,0,0,0,0,0,0,,0,33,21,170,8.1,1,23,47,33.5,,42,
280,Cleo Lemon\LemoCl00,MIA,QB,27,4,1,38,68,412,2,1,3,7,2.33,0,0,0,0,,0,23,27.2,24.2,,50,
281,Bubba Franks\FranBu00,GNB,TE,28,16,14,0,0,0,0,0,0,0,,0,53,25,232,9.28,0,23,50.2,33.7,,41,
282,Mike Sellers\SellMi00,WAS,RB,31,16,6,0,0,0,0,0,12,51,4.25,0,21,18,105,5.83,1,22,42.1,29.6,,85,
283,Nick Goings\GoinNi00,CAR,RB,28,11,0,0,0,0,0,0,11,52,4.73,0,15,10,107,10.7,1,22,34.9,26.9,,84,
284,Zack Crockett\CrocZa00,OAK,RB,34,16,9,0,0,0,0,0,39,163,4.18,0,17,10,53,5.3,0,22,33.6,24.6,,86,
285,David Thomas\ThomDa02,NWE,TE,23,15,3,0,0,0,0,0,0,0,,0,16,11,159,14.45,1,22,35.9,27.4,,43,
286,Chris Taylor\TaylCh02,HOU,RB,23,4,0,0,0,0,0,0,28,123,4.39,1,3,3,40,13.33,0,22,28.3,23.8,,83,
287,Quinn Gray\GrayQu00,JAX,QB,27,2,0,13,22,166,0,0,2,26,13,2,0,0,0,,0,21,21.2,21.2,,51,
288,Sage Rosenfels\RoseSa00,HOU,QB,28,4,0,27,39,265,3,1,4,5,1.25,0,0,0,0,,0,21,22.1,22.1,,52,
289,James Thrash\ThraJa00,WAS,WR,31,16,0,0,0,0,0,0,0,0,,0,20,12,151,12.58,1,21,36.1,27.1,,107,
290,Heath Evans\EvanHe00,NWE,RB,28,16,3,0,0,0,0,0,27,117,4.33,0,9,7,34,4.86,1,21,30.6,23.6,,87,
291,John Madsen\MadsJo00,OAK,WR,23,15,1,0,0,0,0,0,0,0,,0,19,11,146,13.27,1,21,34.6,26.1,,108,
292,Chris Simms\SimmCh00,TAM,QB,26,3,3,58,106,585,1,7,4,7,1.75,1,0,0,0,,0,20,30.1,27.1,,53,
293,Shaun McDonald\McDoSh00,STL,WR,25,16,0,0,0,0,0,0,0,0,,0,19,13,136,10.46,1,20,34.6,24.1,,110,
294,Aaron Stecker\StecAa00,NOR,RB,31,12,1,0,0,0,0,0,4,11,2.75,0,28,19,190,10,0,20,42.1,29.6,,88,
295,Jabar Gaffney\GaffJa00,NWE,WR,26,11,6,0,0,0,0,0,0,0,,0,20,11,142,12.91,1,20,34.2,25.7,,109,
296,Marcedes Lewis\LewiMa00,JAX,TE,22,15,3,0,0,0,0,0,0,0,,0,21,13,126,9.69,1,19,34.6,25.1,,44,
297,David Kircus\KircDa00,DEN,WR,26,16,0,0,0,0,0,0,0,0,,0,27,9,187,20.78,0,19,30.7,23.2,,111,
298,Justin Peelle\PeelJu00,MIA,WR,27,15,10,0,0,0,0,0,0,0,,0,18,16,116,7.25,1,18,36.6,25.6,,112,
299,Obafemi Ayanbadejo\AyanOb00,ARI,RB,31,14,0,0,0,0,0,0,9,37,4.11,0,19,17,139,8.18,0,18,37.1,25.1,,91,
300,Ciatrick Fason\FasoCi00,MIN,RB,24,5,0,0,0,0,0,0,18,99,5.5,1,5,3,19,6.33,0,18,20.8,19.3,,90,
301,Tony Stewart\StewTo00,CIN,TE,27,16,3,0,0,0,0,0,0,0,,0,18,14,120,8.57,1,18,35,25,,46,
302,Jason McKie\McKiJa00,CHI,RB,26,15,12,0,0,0,0,0,8,18,2.25,0,38,25,162,6.48,0,18,46,30.5,,89,
303,Mark Bruener\BrueMa00,HOU,TE,34,15,4,0,0,0,0,0,0,0,,0,10,9,62,6.89,2,18,27.2,22.7,,45,
304,Anthony Becht\BechAn00,TAM,TE,29,16,16,0,0,0,0,0,0,0,,0,26,18,115,6.39,1,18,38,25.5,,47,
305,Kelley Washington\WashKe00,CIN,WR,27,5,1,0,0,0,0,0,0,0,,0,12,9,115,12.78,1,18,29.5,22,,113,
306,Jamal Jones\JoneJa02,NOR,WR,25,12,1,0,0,0,0,0,0,0,,0,10,6,108,18,1,17,25.8,19.8,,114,
307,Verron Haynes\HaynVe00,PIT,RB,27,7,0,0,0,0,0,0,15,78,5.2,0,22,18,95,5.28,0,17,34.8,25.3,,92,
308,Adam Bergen\BergAd00,ARI,TE,23,14,7,0,0,0,0,0,0,0,,0,24,15,111,7.4,1,17,34.1,22.6,,48,
309,Tony Fisher\FishTo00,STL,RB,27,8,0,0,0,0,0,0,6,9,1.5,0,18,14,159,11.36,0,17,33.8,23.8,,93,
310,Brad Smith\SmitBr01,NYJ,WR,23,16,3,0,0,0,0,0,18,103,5.72,0,15,9,61,6.78,0,16,27.9,19.9,,115,
311,Corey Bradford\BradCo00,DET,WR,31,9,2,0,0,0,0,0,0,0,,0,25,14,164,11.71,0,16,32.9,22.4,,117,
312,Kevin Walter\WaltKe00,HOU,WR,25,16,2,0,0,0,0,0,1,3,3,0,21,17,160,9.41,0,16,35.8,23.8,,118,
313,Ahmard Hall\HallAh00,TEN,WR,27,14,7,0,0,0,0,0,7,21,3,0,21,15,138,9.2,0,16,33.4,22.4,,120,
314,Mike Williams\WillMi03,DET,WR,22,8,2,0,0,0,0,0,0,0,,0,18,8,99,12.38,1,16,23.9,19.9,,119,
315,John Gilmore\GilmJo00,CHI,WR,27,16,3,0,0,0,0,0,0,0,,0,12,6,38,6.33,2,16,21.8,18.8,,121,
316,Bethel Johnson\JohnBe00,MIN,WR,27,11,2,0,0,0,0,0,4,8,2,0,19,9,156,17.33,0,16,27.9,19.9,,116,
317,Chris Brown\BrowCh03,TEN,RB,25,5,3,0,0,0,0,0,41,156,3.8,0,9,2,4,2,0,16,20.5,16,,96,
318,Kerry Collins\CollKe00,TEN,QB,34,4,3,42,90,549,1,6,0,0,,0,0,0,0,,0,16,25,22,,54,
319,Mark Campbell\CampMa00,NOR,TE,31,14,10,0,0,0,0,0,0,0,,0,29,18,164,9.11,0,16,37.4,25.4,,49,
